alpha,beta,gamma,conf_no,rmsd1,rmsd2
38.6,33.8,56.1,627,0.44,0.51
91.5,29.7,-14.6,628,0.45,0.54
71.9,27.9,2.7,629,0.44,0.62
42.3,37.4,59.5,630,0.45,0.56
37.0,35.4,56.2,631,0.45,0.48
58.0,42.8,35.9,632,0.45,0.48
57.5,29.6,9.5,633,0.45,0.49
41.5,23.1,42.9,634,0.44,0.5
54.3,20.0,-2.1,635,0.44,0.58
17.1,30.8,78.9,636,0.44,0.49
31.9,10.9,25.2,637,0.44,0.48
17.9,24.6,51.7,638,0.45,0.48
-38.8,38.2,134.1,639,0.44,0.48
57.1,20.2,15.2,640,0.44,0.67
42.0,9.3,15.4,641,0.44,0.49
32.6,35.9,60.5,642,0.45,0.51
34.9,22.2,51.5,643,0.44,0.49
22.9,34.1,63.0,644,0.45,0.53
24.0,27.3,67.0,645,0.44,0.48
28.0,27.7,53.5,646,0.44,0.5
60.2,15.8,9.1,647,0.44,0.65
30.2,25.9,51.5,648,0.44,0.48
27.1,32.2,72.0,649,0.44,0.62
43.0,9.5,1.1,650,0.44,0.77
36.9,33.9,59.8,651,0.44,0.48
29.0,32.4,61.5,652,0.44,0.48
4.4,33.4,80.8,653,0.44,0.54
6.3,31.2,95.6,654,0.45,0.48
15.1,16.4,66.5,655,0.44,0.63
23.9,29.1,72.4,656,0.45,0.48
41.0,24.1,33.2,657,0.44,0.48
44.7,19.2,15.1,658,0.44,0.57
46.7,27.9,24.3,659,0.44,0.48
13.8,24.5,66.3,660,0.52,0.63
27.4,23.8,43.8,661,0.45,0.7
83.3,32.2,9.7,662,0.44,0.62
12.8,20.5,60.4,663,0.44,0.48
-26.0,111.1,-25.7,664,0.62,0.5
68.6,41.3,-1.8,665,0.44,0.48
7.1,21.2,83.3,666,0.44,0.48
7.6,19.0,76.1,667,0.44,0.48
88.1,37.0,-13.7,668,0.44,0.49
50.8,24.7,44.8,669,0.44,0.51
6.2,10.1,45.4,670,0.44,0.67
26.1,117.2,-26.6,671,0.62,0.66
25.9,22.5,59.5,672,0.44,0.49
42.5,17.0,32.2,673,0.44,0.48
78.0,22.3,5.8,674,0.44,0.5
-59.9,13.9,77.3,675,0.45,0.49
51.3,24.5,33.5,676,0.44,0.54
40.2,42.7,42.8,677,0.45,0.48
61.0,26.1,31.8,678,0.44,0.51
70.4,23.8,9.3,679,0.44,0.49
26.0,29.0,57.6,680,0.44,0.48
22.9,31.7,76.4,681,0.45,0.48
27.7,9.5,18.7,682,0.44,0.78
43.5,24.4,17.2,683,0.45,0.55
127.7,-40.3,-50.8,684,0.44,0.49
75.8,24.8,1.0,685,0.44,0.49
28.1,22.0,45.0,686,0.44,0.48
-31.8,64.3,77.9,687,0.44,0.49
30.6,32.1,62.9,688,0.45,0.5
91.4,28.3,-17.8,689,0.44,0.74
26.9,27.2,48.3,690,0.44,0.48
28.1,21.3,49.4,691,0.44,0.5
31.4,32.3,63.6,692,0.44,0.48
34.5,33.7,59.6,693,0.44,0.48
-67.0,14.0,98.4,694,0.44,0.5
29.1,26.5,33.0,695,0.45,0.62
31.8,18.7,54.4,696,0.44,0.48
60.5,12.3,6.8,697,0.44,0.5
18.1,28.1,82.2,698,0.44,0.49
92.5,32.6,-10.6,699,0.44,0.62
68.4,22.4,9.1,700,0.44,0.65
-16.7,12.4,86.9,701,0.44,0.64
63.8,39.5,27.1,702,0.44,0.48
43.9,23.6,41.9,703,0.44,0.49
124.0,-31.7,-46.0,704,0.44,0.72
39.7,25.6,23.2,705,0.44,0.49
40.5,29.1,55.2,706,0.44,0.48
22.5,22.5,59.7,707,0.44,0.48
-46.3,67.7,-10.8,708,0.45,0.72
22.0,26.0,66.5,709,0.44,0.53
85.5,24.3,-3.8,710,0.44,0.62
11.5,37.4,89.9,711,0.45,0.48
65.4,16.4,3.1,712,0.44,0.48
86.1,18.1,-38.9,713,0.45,0.48
67.1,19.7,12.3,714,0.44,0.53
20.9,28.7,81.1,715,0.45,0.49
24.7,27.5,58.2,716,0.45,0.48
36.6,17.0,31.4,717,0.44,0.75
34.2,23.8,39.6,718,0.44,0.5
24.8,33.3,70.1,719,0.44,0.48
26.8,19.1,43.9,720,0.44,0.48
77.1,22.3,9.6,721,0.44,0.62
30.3,31.9,55.7,722,0.44,0.5
34.3,10.6,22.6,723,0.44,0.74
73.3,19.9,-10.1,724,0.44,0.56
77.8,26.2,9.7,725,0.44,0.63
40.8,28.7,49.2,726,0.44,0.48
40.8,20.0,35.0,727,0.44,0.49
21.4,26.5,75.7,728,0.44,0.48
30.9,26.5,71.8,729,0.45,0.49
21.1,22.9,43.7,730,0.45,0.58
55.7,24.0,26.7,731,0.44,0.5
69.2,35.3,-1.0,732,0.44,0.5
60.9,20.4,5.4,733,0.45,0.51
47.2,23.9,24.7,734,0.44,0.62
48.3,24.3,38.8,735,0.44,0.62
62.0,18.7,-9.1,736,0.44,0.58
-7.5,22.1,88.1,737,0.44,0.48
17.9,28.2,74.7,738,0.46,0.48
24.7,21.8,60.0,739,0.44,0.58
59.6,25.1,29.8,740,0.44,0.62
26.5,22.3,45.5,741,0.44,0.48
-6.2,18.0,91.4,742,0.44,0.49
60.2,19.0,16.3,743,0.44,0.48
38.5,28.0,36.3,744,0.44,0.48
44.2,24.8,47.3,745,0.44,0.5
36.2,18.1,41.7,746,0.44,0.49
-70.0,57.9,100.1,747,0.44,0.48
37.3,20.5,50.5,748,0.44,0.66
43.3,23.9,43.8,749,0.44,0.64
-3.1,30.3,77.3,750,0.45,0.7
66.9,19.0,5.6,751,0.44,0.61
35.4,19.3,41.4,752,0.44,0.54
28.5,30.5,67.1,753,0.44,0.48
24.6,28.1,73.4,754,0.45,0.48
18.4,25.3,69.8,755,0.45,0.48
42.5,21.8,53.0,756,0.44,0.5
31.7,22.9,37.3,757,0.44,0.48
39.2,12.8,7.4,758,0.44,0.73
90.0,29.0,-15.7,759,0.45,0.49
64.6,25.0,6.9,760,0.44,0.48
74.8,31.8,10.4,761,0.44,0.48
56.2,19.1,24.6,762,0.44,0.52
110.8,-50.8,-62.4,763,0.44,0.7
16.7,13.1,44.3,764,0.44,0.48
26.4,23.3,64.9,765,0.47,0.55
28.7,29.9,45.9,766,0.44,0.49
30.5,36.2,62.2,767,0.44,0.48
17.6,32.4,71.6,768,0.45,0.5
47.8,28.1,26.8,769,0.44,0.48
92.7,41.3,-30.1,770,0.44,0.48
13.1,24.6,62.0,771,0.45,0.49
48.6,12.1,18.7,772,0.44,0.62
3.6,50.4,102.9,773,0.46,0.49
14.1,32.8,70.0,774,0.45,0.48
42.9,34.2,53.8,775,0.44,0.5
-16.7,7.8,74.3,776,0.44,0.69
30.9,25.3,54.6,777,0.44,0.48
-55.7,41.1,123.8,778,0.44,0.48
33.8,24.8,20.7,779,0.44,0.48
56.8,21.3,30.1,780,0.44,0.6
15.8,22.1,54.3,781,0.44,0.49
16.4,31.3,65.4,782,0.45,0.48
73.2,27.9,-11.4,783,0.44,0.48
55.8,24.7,27.1,784,0.44,0.49
78.2,22.4,5.4,785,0.44,0.5
70.9,13.8,-18.9,786,0.44,0.59
27.2,28.3,57.3,787,0.72,0.48
59.1,61.9,-19.4,788,0.44,0.49
-29.1,9.0,60.0,789,0.44,0.76
14.3,30.7,66.9,790,0.45,0.49
-45.5,46.3,134.2,791,0.45,0.5
20.8,25.0,60.6,792,0.44,0.48
34.0,30.2,54.8,793,0.44,0.48
2.0,47.1,98.9,794,0.73,0.51
19.6,32.2,83.4,795,0.45,0.49
84.4,22.5,-19.4,796,0.44,0.62
48.2,45.1,42.0,797,0.57,0.48
27.7,30.1,64.3,798,0.44,0.49
64.1,21.1,23.9,799,0.44,0.5
21.7,34.4,68.2,800,0.45,0.48
50.9,18.6,32.5,801,0.44,0.52
77.1,21.6,2.2,802,0.44,0.61
89.3,25.7,-10.9,803,0.45,0.5
64.6,18.3,1.0,804,0.44,0.71
33.4,36.1,51.4,805,0.44,0.49
37.4,30.2,55.3,806,0.44,0.48
41.4,22.0,60.3,807,0.44,0.48
20.8,32.6,81.1,808,0.45,0.48
54.9,23.5,15.7,809,0.44,0.48
-41.4,45.3,136.9,810,0.62,0.6
12.9,12.5,67.2,811,0.44,0.58
33.5,33.0,56.4,812,0.44,0.48
41.4,23.0,32.2,813,0.44,0.48
80.4,26.7,-20.1,814,0.44,0.73
18.5,20.2,63.1,815,0.44,0.48
28.7,27.2,53.2,816,0.44,0.49
-11.3,59.4,81.7,817,0.44,0.48
-9.4,22.9,86.5,818,0.44,0.51
54.9,14.3,3.1,819,0.44,0.54
6.3,21.0,63.6,820,0.44,0.49
26.7,22.4,46.1,821,0.45,0.61
-18.0,41.7,95.7,822,0.7,0.56
12.3,31.2,87.4,823,0.45,0.49
27.9,12.8,31.2,824,0.44,0.48
72.1,18.9,2.2,825,0.44,0.61
18.6,28.7,80.2,826,0.45,0.48
56.6,21.7,29.7,827,0.44,0.51
37.9,26.8,37.8,828,0.44,0.48
36.6,29.1,55.2,829,0.44,0.5
35.8,23.1,40.0,830,0.44,0.48
67.1,21.2,-19.8,831,0.44,0.48
36.4,19.9,45.0,832,0.44,0.49
68.7,18.8,15.3,833,0.44,0.61
-14.9,23.5,94.2,834,0.44,0.69
16.5,31.8,87.6,835,0.45,0.6
41.7,11.1,33.4,836,0.44,0.64
72.0,19.5,4.0,837,0.44,0.62
45.2,29.6,49.4,838,0.44,0.48
39.4,18.1,31.0,839,0.44,0.64
38.1,28.6,35.2,840,0.44,0.48
33.8,17.3,38.7,841,0.44,0.52
42.1,33.4,52.4,842,0.44,0.49
31.5,38.7,61.4,843,0.45,0.48
21.9,27.5,73.9,844,0.44,0.48
56.9,20.1,17.4,845,0.44,0.56
-47.3,118.5,-57.8,846,0.44,0.48
53.0,35.3,42.0,847,0.44,0.48
75.1,15.7,-20.0,848,0.44,0.67
18.5,25.8,56.1,849,0.44,0.48
-26.9,29.9,120.8,850,0.44,0.5
23.2,30.1,67.6,851,0.44,0.48
60.4,19.9,23.7,852,0.44,0.52
32.7,29.7,53.9,853,0.44,0.48
51.5,26.4,19.5,854,0.44,0.48
26.5,15.7,51.1,855,0.44,0.48
35.8,75.6,20.0,856,0.48,0.48
54.3,12.2,-7.8,857,0.44,0.49
77.0,20.1,-15.1,858,0.44,0.6
75.6,10.3,-13.3,859,0.46,0.68
91.2,35.1,-15.2,860,0.44,0.63
51.6,24.1,23.6,861,0.44,0.48
-23.5,65.1,65.3,862,0.44,0.59
73.8,22.0,3.4,863,0.44,0.53
74.2,21.6,0.9,864,0.44,0.65
44.5,25.8,28.1,865,0.45,0.48
22.8,22.8,65.9,866,0.44,0.52
87.1,29.8,-7.4,867,0.44,0.68
36.7,35.6,57.0,868,0.44,0.48
74.8,20.6,7.4,869,0.44,0.61
5.1,28.5,73.1,870,0.45,0.65
43.1,19.0,26.6,871,0.44,0.61
29.6,29.5,63.7,872,0.44,0.48
93.4,41.2,-3.1,873,0.47,0.49
38.9,32.4,56.4,874,0.44,0.61
78.8,23.2,-17.1,875,0.44,0.69
41.1,34.5,54.4,876,0.44,0.51
45.8,17.8,17.6,877,0.44,0.6
38.7,21.2,30.9,878,0.44,0.48
55.6,23.5,30.4,879,0.44,0.62
29.0,17.1,45.9,880,0.44,0.49
93.9,23.0,-15.5,881,0.51,0.63
0.4,29.6,86.3,882,0.45,0.49
27.2,32.1,66.9,883,0.44,0.48
37.1,31.4,49.5,884,0.44,0.48
67.6,22.0,-3.8,885,0.44,0.48
38.6,25.2,36.8,886,0.44,0.5
38.4,19.6,39.6,887,0.44,0.48
-43.9,14.0,88.4,888,0.44,0.5
38.8,25.3,39.0,889,0.44,0.49
74.0,19.1,5.5,890,0.44,0.59
51.4,24.6,38.0,891,0.44,0.62
4.3,34.5,80.7,892,0.45,0.48
15.1,35.4,21.7,893,0.45,0.48
9.8,26.8,61.0,894,0.44,0.53
13.1,29.9,60.7,895,0.45,0.5
36.6,32.1,58.8,896,0.44,0.48
31.2,32.8,60.8,897,0.44,0.48
73.6,29.5,18.5,898,0.44,0.6
24.7,22.9,61.1,899,0.44,0.48
4.1,39.3,100.7,900,0.46,0.48
65.3,19.0,6.2,901,0.44,0.65
127.7,-34.6,-48.1,902,0.44,0.6
20.5,25.0,68.6,903,0.45,0.48
13.7,34.9,80.9,904,0.45,0.48
11.1,24.2,36.0,905,0.44,0.48
27.4,12.8,48.8,906,0.44,0.48
-46.3,60.5,10.2,907,0.44,0.57
83.9,22.2,-5.8,908,0.44,0.62
32.8,31.4,62.7,909,0.44,0.5
71.7,25.7,-1.4,910,0.44,0.48
44.0,28.1,18.0,911,0.44,0.48
30.9,28.7,61.1,912,0.44,0.5
83.1,34.2,-10.8,913,0.45,0.54
40.3,33.6,53.3,914,0.44,0.48
83.1,17.3,-20.1,915,0.44,0.68
16.4,32.1,79.6,916,0.44,0.48
58.4,31.4,10.4,917,0.44,0.48
59.0,24.5,20.3,918,0.44,0.5
7.4,35.9,95.0,919,0.46,0.48
9.9,34.8,92.1,920,0.44,0.61
48.9,18.3,34.0,921,0.45,0.67
54.0,24.0,37.7,922,0.44,0.67
76.1,20.2,-13.4,923,0.44,0.58
28.2,32.3,59.9,924,0.44,0.48
81.1,20.4,-18.1,925,0.44,0.6
-23.0,18.2,95.3,926,0.44,0.48
71.5,21.3,-11.1,927,0.44,0.69
69.2,21.6,15.5,928,0.44,0.51
60.8,25.9,34.0,929,0.44,0.51
39.8,31.6,53.6,930,0.48,0.48
75.9,20.6,1.6,931,0.44,0.5
76.2,32.0,9.7,932,0.44,0.48
60.3,32.7,27.2,933,0.44,0.48
80.1,21.1,-6.8,934,0.44,0.61
33.4,27.6,56.1,935,0.44,0.6
30.5,21.5,46.8,936,0.44,0.48
39.9,28.2,34.4,937,0.44,0.49
36.9,12.2,37.8,938,0.44,0.57
63.1,22.8,22.9,939,0.44,0.62
68.1,33.8,-15.6,940,0.44,0.49
88.7,25.7,-8.9,941,0.44,0.64
124.3,-46.0,-39.0,942,0.44,0.49
-6.0,86.8,51.4,943,0.47,0.49
79.8,40.3,-29.9,944,0.45,0.49
22.7,29.2,77.7,945,0.44,0.5
21.4,21.5,63.3,946,0.44,0.55
17.8,33.3,84.6,947,0.45,0.48
32.4,31.9,58.0,948,0.45,0.49
64.1,21.1,19.8,949,0.44,0.5
53.1,27.0,-5.0,950,0.44,0.49
29.1,34.0,56.7,951,0.45,0.49
30.7,25.3,57.9,952,0.44,0.48
-24.7,59.4,75.4,953,0.44,0.64
28.3,7.0,52.3,954,0.44,0.49
65.4,20.0,7.4,955,0.44,0.48
22.5,25.5,70.8,956,0.44,0.48
54.8,24.2,13.8,957,0.44,0.62
75.2,21.1,11.1,958,0.44,0.48
28.3,31.9,62.9,959,0.44,0.48
22.9,31.4,70.8,960,0.44,0.48
30.8,128.8,-12.5,961,0.62,0.61
47.1,25.0,40.2,962,0.44,0.48
37.6,13.0,28.7,963,0.44,0.77
53.8,27.6,20.0,964,0.44,0.63
13.4,23.8,55.4,965,0.45,0.59
72.6,25.3,-5.0,966,0.44,0.63
87.9,43.0,-44.5,967,0.47,0.72
18.6,34.1,79.4,968,0.45,0.61
13.9,32.8,91.3,969,0.45,0.48
30.7,21.4,32.9,970,0.44,0.69
33.7,34.1,63.5,971,0.44,0.48
37.5,32.1,48.3,972,0.44,0.48
48.8,29.2,45.4,973,0.44,0.5
63.2,26.6,21.7,974,0.44,0.48
76.7,23.9,-26.5,975,0.44,0.65
38.0,33.1,55.2,976,0.44,0.48
81.2,19.5,-19.2,977,0.44,0.65
49.9,14.8,8.0,978,0.44,0.5
84.9,30.3,2.2,979,0.44,0.61
31.9,32.3,63.4,980,0.45,0.5
8.5,16.5,72.3,981,0.44,0.48
70.1,22.2,13.8,982,0.44,0.5
39.4,32.8,54.8,983,0.44,0.51
11.5,23.0,77.5,984,0.44,0.5
32.2,20.7,36.4,985,0.44,0.48
29.0,32.5,65.3,986,0.44,0.48
27.8,32.6,70.3,987,0.45,0.48
71.6,20.8,-2.1,988,0.44,0.7
16.7,21.3,76.6,989,0.44,0.64
42.0,27.1,28.5,990,0.44,0.48
44.7,28.5,36.4,991,0.44,0.49
48.6,29.2,27.4,992,0.44,0.48
26.8,26.0,48.7,993,0.44,0.49
-4.8,19.2,89.1,994,0.44,0.48
44.3,25.9,43.4,995,0.44,0.51
35.0,20.2,47.8,996,0.44,0.48
58.8,10.8,-3.6,997,0.44,0.49
31.4,79.3,-6.6,998,0.52,0.48
63.9,21.8,21.4,999,0.44,0.5
63.2,20.2,23.0,1000,0.44,0.51
25.3,13.2,51.8,1001,0.44,0.49
59.1,24.6,25.7,1002,0.44,0.48
29.7,32.8,71.0,1003,0.45,0.48
22.4,20.7,53.6,1004,0.44,0.48
49.3,24.2,42.8,1005,0.44,0.64
50.7,21.3,35.6,1006,0.44,0.49
31.3,82.8,-5.0,1007,0.52,0.61
13.8,22.1,56.3,1008,0.44,0.65
23.8,9.2,37.4,1009,0.44,0.67
64.3,20.4,2.2,1010,0.44,0.63
32.4,23.2,34.0,1011,0.44,0.48
38.8,31.8,55.2,1012,0.44,0.51
77.0,20.0,0.5,1013,0.44,0.64
45.4,27.9,32.6,1014,0.44,0.64
19.7,20.6,60.4,1015,0.44,0.48
64.2,21.6,22.2,1016,0.44,0.51
8.5,35.2,94.6,1017,0.45,0.48
55.7,26.5,14.4,1018,0.44,0.48
121.5,-39.1,-34.7,1019,0.44,0.48
29.8,22.1,43.0,1020,0.44,0.53
71.4,29.0,-6.0,1021,0.44,0.56
40.2,27.9,56.2,1022,0.44,0.48
32.1,22.8,44.3,1023,0.44,0.48
46.1,23.6,38.5,1024,0.44,0.48
111.6,-17.1,-59.6,1025,0.69,0.68
20.4,33.8,77.1,1026,0.45,0.48
80.8,22.9,-11.1,1027,0.44,0.61
76.0,24.4,10.8,1028,0.44,0.48
29.3,22.2,54.2,1029,0.44,0.48
42.7,25.1,51.2,1030,0.44,0.49
-27.6,37.1,115.5,1031,0.44,0.52
23.5,36.5,69.7,1032,0.45,0.49
31.0,21.3,51.1,1033,0.44,0.59
45.5,18.6,11.1,1034,0.44,0.48
66.5,24.3,19.9,1035,0.72,0.48
38.9,20.4,29.9,1036,0.44,0.56
20.5,22.2,64.1,1037,0.44,0.48
-77.6,63.7,94.2,1038,0.45,0.64
19.3,22.7,67.6,1039,0.44,0.6
122.9,-41.7,-46.0,1040,0.44,0.5
-10.2,20.2,88.8,1041,0.44,0.64
15.5,17.6,65.3,1042,0.44,0.65
-22.3,18.4,95.1,1043,0.44,0.71
57.2,21.0,16.0,1044,0.44,0.48
-8.0,34.9,96.2,1045,0.44,0.48
35.9,20.4,39.7,1046,0.44,0.5
46.1,25.2,31.5,1047,0.44,0.64
54.1,25.1,34.2,1048,0.44,0.53
-78.6,45.0,82.7,1049,0.44,0.67
44.2,33.7,45.8,1050,0.44,0.48
-34.2,35.5,131.9,1051,0.44,0.61
61.7,19.5,18.2,1052,0.44,0.51
60.7,25.4,20.7,1053,0.44,0.48
-8.6,19.4,72.3,1054,0.44,0.49
31.3,30.3,55.8,1055,0.44,0.49
32.8,15.2,45.9,1056,0.44,0.5
91.6,28.8,-13.9,1057,0.46,0.52
23.6,30.4,67.2,1058,0.44,0.5
19.9,27.1,51.3,1059,0.44,0.48
32.0,24.7,63.7,1060,0.44,0.48
-13.6,25.7,93.9,1061,0.44,0.5
73.5,23.6,-23.6,1062,0.44,0.48
-6.6,41.7,99.1,1063,0.45,0.54
20.5,24.5,54.0,1064,0.44,0.48
31.3,32.3,55.9,1065,0.44,0.48
9.9,36.1,78.7,1066,0.44,0.51
72.4,26.3,-3.9,1067,0.44,0.75
39.7,27.7,36.6,1068,0.44,0.48
78.7,28.6,-24.2,1069,0.44,0.48
20.5,29.3,59.6,1070,0.44,0.49
29.3,15.4,50.1,1071,0.44,0.49
62.3,25.1,21.4,1072,0.44,0.61
66.3,22.2,18.6,1073,0.44,0.51
-9.0,26.8,97.5,1074,0.44,0.58
27.1,30.6,57.2,1075,0.44,0.51
-37.0,52.6,64.2,1076,0.44,0.5
43.8,20.4,2.7,1077,0.44,0.48
48.8,18.3,14.2,1078,0.44,0.49
51.0,31.8,39.2,1079,0.44,0.48
5.8,35.8,94.3,1080,0.44,0.49
54.6,23.4,25.9,1081,0.44,0.5
33.4,21.3,33.7,1082,0.44,0.48
30.4,34.2,64.4,1083,0.44,0.48
61.4,19.5,19.1,1084,0.44,0.52
65.5,17.1,-6.8,1085,0.44,0.79
14.9,25.0,78.0,1086,0.45,0.49
50.8,4.7,-1.3,1087,0.44,0.77
78.6,22.1,6.5,1088,0.44,0.62
12.3,31.6,88.6,1089,0.45,0.51
1.9,27.4,88.3,1090,0.45,0.48
59.7,31.8,12.5,1091,0.44,0.49
26.2,23.7,54.0,1092,0.44,0.48
67.6,21.2,16.4,1093,0.44,0.51
29.6,33.7,64.1,1094,0.44,0.48
68.6,19.3,13.0,1095,0.44,0.62
56.2,31.9,11.9,1096,0.44,0.48
-17.4,38.0,110.7,1097,0.71,0.48
16.4,14.5,63.7,1098,0.44,0.64
21.6,14.2,58.8,1099,0.44,0.71
91.6,35.8,-6.3,1100,0.44,0.48
22.5,35.3,69.5,1101,0.45,0.49
81.1,-26.9,-90.1,1102,0.44,0.74
15.2,17.1,62.4,1103,0.44,0.49
32.8,23.7,39.8,1104,0.44,0.51
52.8,23.2,30.8,1105,0.44,0.49
56.2,36.7,26.7,1106,0.44,0.48
24.8,13.3,51.3,1107,0.44,0.49
27.2,25.8,64.0,1108,0.45,0.66
-28.2,28.0,119.7,1109,0.44,0.49
73.1,18.3,5.9,1110,0.44,0.62
21.6,59.2,46.6,1111,0.44,0.48
15.4,28.7,77.9,1112,0.45,0.49
37.7,34.1,57.1,1113,0.44,0.5
32.5,24.6,43.4,1114,0.44,0.48
30.6,29.9,69.5,1115,0.44,0.49
68.5,20.7,18.2,1116,0.44,0.62
84.8,39.4,-0.7,1117,0.44,0.49
14.8,33.0,91.6,1118,0.44,0.49
31.5,26.2,67.5,1119,0.61,0.49
43.4,18.3,38.5,1120,0.44,0.66
-4.3,21.9,87.7,1121,0.44,0.49
8.9,28.3,84.2,1122,0.44,0.48
-49.7,118.3,-68.2,1123,0.44,0.49
44.3,30.8,42.5,1124,0.44,0.48
-61.6,29.5,117.7,1125,0.44,0.48
-49.0,3.9,92.5,1126,0.44,0.67
56.2,16.8,12.8,1127,0.44,0.48
-53.3,58.1,88.7,1128,0.44,0.49
28.8,47.4,42.4,1129,0.44,0.54
17.5,30.4,81.6,1130,0.44,0.49
12.1,19.8,70.1,1131,0.44,0.51
24.8,36.1,76.6,1132,0.45,0.48
46.1,29.4,26.9,1133,0.44,0.48
21.9,16.0,57.8,1134,0.44,0.51
36.5,19.4,21.9,1135,0.44,0.7
29.4,25.7,38.9,1136,0.44,0.48
27.9,24.8,48.9,1137,0.44,0.48
-23.7,26.0,71.4,1138,0.44,0.48
78.7,25.3,-13.1,1139,0.44,0.61
43.9,35.3,49.0,1140,0.44,0.48
5.0,25.4,67.7,1141,0.45,0.48
36.4,24.5,55.0,1142,0.44,0.5
32.9,22.3,49.2,1143,0.44,0.49
35.5,20.7,56.0,1144,0.44,0.66
21.4,16.7,53.8,1145,0.44,0.6
33.1,25.0,51.9,1146,0.44,0.56
18.0,33.2,88.0,1147,0.45,0.51
17.2,28.6,76.0,1148,0.45,0.49
41.8,28.4,14.3,1149,0.45,0.48
-38.1,37.3,98.9,1150,0.44,0.72
48.3,10.7,5.6,1151,0.44,0.57
16.1,27.0,60.3,1152,0.45,0.51
29.8,25.5,54.4,1153,0.44,0.5
62.8,20.2,17.2,1154,0.44,0.49
53.8,25.2,34.6,1155,0.44,0.62
19.2,35.4,89.3,1156,0.45,0.48
64.8,25.6,2.0,1157,0.44,0.49
37.8,29.6,49.2,1158,0.44,0.49
81.7,26.8,2.6,1159,0.44,0.65
20.8,33.8,86.1,1160,0.45,0.56
27.1,117.8,-66.2,1161,0.72,0.48
60.7,12.3,-14.2,1162,0.44,0.76
3.2,31.4,86.4,1163,0.44,0.72
-6.8,20.4,82.1,1164,0.44,0.55
73.6,22.0,5.3,1165,0.44,0.52
38.2,22.9,24.3,1166,0.44,0.48
-14.1,51.8,110.7,1167,0.73,0.5
37.9,21.5,28.7,1168,0.44,0.48
18.0,25.8,71.5,1169,0.44,0.67
73.4,21.1,-5.5,1170,0.44,0.48
30.5,30.9,58.4,1171,0.44,0.5
26.1,28.8,67.2,1172,0.45,0.5
74.8,18.9,-24.4,1173,0.44,0.48
24.2,22.4,60.4,1174,0.44,0.48
25.6,15.0,53.4,1175,0.44,0.48
19.4,31.6,84.3,1176,0.45,0.48
33.5,35.5,68.3,1177,0.45,0.5
49.6,21.8,24.4,1178,0.44,0.49
87.4,28.2,-5.9,1179,0.44,0.6
27.9,30.2,57.4,1180,0.44,0.48
130.1,-35.6,-44.5,1181,0.44,0.48
7.1,27.0,88.0,1182,0.44,0.49
-39.4,52.9,137.8,1183,0.44,0.6
43.5,29.9,31.4,1184,0.44,0.48
68.5,20.3,17.5,1185,0.44,0.51
74.0,22.7,8.2,1186,0.44,0.51
41.0,21.2,45.8,1187,0.44,0.48
41.8,30.1,39.0,1188,0.44,0.49
64.7,19.3,14.1,1189,0.44,0.52
84.3,25.1,-0.9,1190,0.44,0.48
61.8,20.4,6.0,1191,0.44,0.48
-46.4,59.7,60.6,1192,0.45,0.53
47.6,24.5,40.8,1193,0.44,0.48
51.2,32.8,25.0,1194,0.44,0.66
-24.4,34.7,126.6,1195,0.44,0.61
82.4,22.4,-16.8,1196,0.44,0.62
42.0,28.0,44.6,1197,0.44,0.48
-25.5,43.3,73.3,1198,0.44,0.48
25.1,33.9,77.2,1199,0.44,0.51
26.8,20.6,54.3,1200,0.44,0.48
-35.9,19.8,88.0,1201,0.44,0.49
37.7,19.6,18.8,1202,0.44,0.48
50.1,30.7,42.6,1203,0.44,0.51
76.6,21.0,-4.0,1204,0.44,0.48
28.7,32.7,66.0,1205,0.45,0.49
4.2,26.3,88.6,1206,0.45,0.48
-15.0,47.7,108.4,1207,0.72,0.48
74.4,20.3,-10.1,1208,0.44,0.67
33.9,28.6,72.7,1209,0.44,0.49
57.2,15.7,32.1,1210,0.44,0.48
85.0,29.9,-3.0,1211,0.44,0.5
77.8,25.6,8.8,1212,0.44,0.48
36.3,27.6,38.8,1213,0.44,0.48
23.0,37.5,68.7,1214,0.45,0.48
19.1,41.4,84.9,1215,0.45,0.48
5.9,8.6,25.7,1216,0.44,0.49
92.2,35.4,-16.8,1217,0.44,0.48
60.4,19.8,20.2,1218,0.44,0.52
75.2,21.5,6.1,1219,0.44,0.51
8.5,35.3,80.3,1220,0.45,0.48
34.6,37.0,67.5,1221,0.49,0.48
-5.1,28.0,71.2,1222,0.44,0.51
90.7,19.0,-32.0,1223,0.44,0.49
2.3,38.1,95.6,1224,0.44,0.48
53.1,25.0,36.8,1225,0.44,0.56
44.9,22.1,37.2,1226,0.44,0.49
33.6,34.1,59.6,1227,0.44,0.48
15.1,24.3,54.7,1228,0.44,0.49
75.9,23.0,1.4,1229,0.44,0.5
57.7,35.5,4.9,1230,0.44,0.49
31.2,34.8,56.3,1231,0.45,0.55
45.2,31.6,52.0,1232,0.44,0.48
69.7,17.5,-11.0,1233,0.44,0.64
42.9,16.5,11.9,1234,0.44,0.49
32.2,23.1,47.9,1235,0.44,0.51
39.5,28.3,41.4,1236,0.44,0.48
63.9,28.8,31.6,1237,0.44,0.49
29.6,39.3,74.2,1238,0.45,0.49
62.7,23.2,-7.6,1239,0.44,0.59
42.3,16.9,16.9,1240,0.44,0.69
75.6,23.6,-9.3,1241,0.44,0.7
-7.7,62.6,50.6,1242,0.44,0.5
